"   ","CUT_TIME","SHOP","PRODUCT","月目標","日目標","日實績_P","日實績_E","累積計畫","累積實績_P","累積實績_E","G9","差異"
"1","03/01 05:51","T1CELL","500D_SUB","18","0","0","0","0","0","0","0","0"
"2","03/01 05:51","T1CELL","700V_SUB","0","0","0","0","0","0","36","0","36"
"3","03/01 05:51","T1CELL","700Y_SUB","3400","1000","0","406","3400","0","3918","0","518"
"4","03/01 05:51","T1CELL","800K_SUB","3600","600","1","500","3600","2851","710","0","-39"
"5","03/01 05:51","T1CELL","900A_SUB","0","0","0","0","0","0","68","0","68"
"6","03/01 05:51","T1CELL","ADZA_SUB","5550","600","20","2","5550","5337","1050","0","837"
"7","03/01 05:51","T1CELL","ADZA_SUB(PA)","0","0","0","0","0","0","3","0","3"
"8","03/01 05:51","T1CELL","AEFA_SUB","19969","241","601","18","19969","13574","6002","0","-393"
"9","03/01 05:51","T1CELL","AEFA_SUB(PA)","576","56","32","43","576","111","784","139","180"
"10","03/01 05:51","T1CELL","AEFB_SUB","0","0","0","0","0","0","0","0","0"
"11","03/01 05:51","T1CELL","AGZT_SUB","0","0","0","0","0","0","-6","0","-6"
"12","03/01 05:51","T1CELL","AGZT_SUB(PA)","0","0","0","0","0","0","5","1","4"
"13","03/01 05:51","T1CELL","AGZU_SUB(PA)","0","0","0","0","0","0","0","37","-37"
"14","03/01 05:51","T1CELL","AGZV_SUB","5274","0","187","0","5274","4486","401","0","-387"
"15","03/01 05:51","T1CELL","AGZV_SUB(PA)","1391","0","0","0","1391","244","750","69","-466"
"16","03/01 05:51","T1CELL","AGZX_SUB","0","0","0","0","0","0","2","0","2"
"17","03/01 05:51","T1CELL","AGZX_SUB(PA)","0","0","0","0","0","2","0","0","2"
"18","03/01 05:51","T1CELL","AHEA_SUB","0","0","3","0","0","1607","0","0","1607"
"19","03/01 05:51","T1CELL","AIZP_SUB","5203","0","0","0","5203","2251","2574","0","-378"
"20","03/01 05:51","T1CELL","AIZP_SUB(PA)","1250","0","0","3","1250","0","1417","50","117"
"21","03/01 05:51","T1CELL","AZAA_SUB","9760","0","0","0","9760","6230","3070","0","-460"
"22","03/01 05:51","T1CELL","AZBH_SUB","2778","0","0","0","2778","0","2651","0","-127"
"23","03/01 05:51","T1CELL","BBZD_SUB","5","0","0","0","5","0","4","0","-1"
"24","03/01 05:51","T1CELL","BBZE_SUB","10933","0","1","2","10933","6821","3185","-1","-926"
"25","03/01 05:51","T1CELL","BBZE_SUB(PA)","1122","0","0","14","1122","9","1584","71","400"
"26","03/01 05:51","T1CELL","BCZA_SUB","6661","284","434","37","6661","7582","1858","0","2779"
"27","03/01 05:51","T1CELL","BCZA_SUB(PA)","3070","211","0","188","3070","7","1293","65","-1835"
